product_id,product_name,region,units_sold,revenue
289,Soda,North,1405,15538
264,Soda,North,859,45893
113,Soda,North,1075,25869
343,Snacks,North,1126,10473
410,Soda,East,1803,1271
156,Beer,West,1032,49077
103,Beer,North,1133,7812
313,Snacks,South,1620,47591
148,Juice,North,1009,15988
180,Juice,South,1746,42048
134,Snacks,West,1370,17597
465,Juice,East,1776,42564
280,Juice,West,906,27754
259,Soda,West,821,46792
457,Snacks,East,1350,36446
476,Snacks,South,1697,40530
316,Juice,West,693,36438
365,Juice,East,1680,38269
350,Snacks,South,1897,27812
212,Beer,South,1826,49699
289,Snacks,South,1536,47779
101,Soda,East,309,9090
162,Juice,North,1205,27168
219,Soda,East,1309,23341
344,Snacks,West,1844,37529
499,Juice,East,1829,20470
371,Snacks,East,104,47309
230,Snacks,West,1782,21995
316,Soda,East,1156,5476
117,Soda,East,559,38859
330,Beer,West,1943,38062
397,Juice,North,1361,27732
331,Snacks,North,1453,27314
223,Juice,South,1387,27895
149,Soda,North,506,33504
276,Juice,East,979,37040
102,Beer,West,1264,45385
171,Snacks,South,266,9223
471,Snacks,East,294,20808
224,Snacks,South,827,42144
482,Soda,West,1105,35972
104,Snacks,East,310,25653
284,Soda,South,206,46805
183,Beer,South,1208,37257
252,Snacks,North,1984,2981
297,Juice,South,1843,27577
319,Soda,North,1339,33036
122,Soda,North,444,3698
493,Juice,West,1126,46197
237,Juice,North,361,6634
260,Beer,South,89,37790
172,Soda,North,1259,22404
294,Beer,North,296,7064
196,Juice,South,1030,29607
173,Snacks,West,637,4162
126,Juice,West,1013,2829
262,Juice,South,653,29580
161,Beer,East,782,41779
362,Beer,East,1790,24466
298,Juice,South,675,19857
313,Beer,North,1667,11108
365,Soda,South,1484,8089
126,Beer,South,1460,4207
167,Beer,East,1300,12360
294,Snacks,East,1496,33167
403,Snacks,South,1607,24423
462,Snacks,North,1282,32216
422,Soda,West,1549,42635
444,Beer,South,1518,20880
426,Beer,South,1495,8651
401,Snacks,West,833,46596
197,Soda,East,1965,6232
301,Beer,North,1398,9785
347,Beer,East,689,7517
447,Beer,West,1415,12632
110,Beer,West,809,33682
131,Soda,West,322,14892
427,Snacks,West,1774,22433
247,Snacks,North,380,11893
232,Soda,South,519,42076
481,Beer,South,477,11333
368,Beer,West,349,12837
302,Soda,North,789,8623
221,Soda,West,858,34076
197,Juice,North,543,45389
335,Soda,South,1821,36837
230,Beer,North,283,705
498,Soda,South,921,6733
351,Snacks,North,1256,26982
351,Beer,East,820,669
452,Soda,North,140,1923
155,Soda,West,1182,30361
479,Soda,East,801,48257
348,Beer,East,554,33664
301,Soda,East,1086,11950
348,Soda,East,1534,24315
401,Snacks,East,228,13898
472,Juice,East,231,35624
275,Snacks,East,1551,29886
204,Juice,North,707,47736
344,Snacks,West,857,14570
324,Soda,North,146,16614
452,Soda,East,258,8971
250,Beer,East,1961,37564
410,Beer,East,1050,5086
153,Snacks,North,1979,2494
480,Snacks,West,1498,37661
420,Juice,West,93,9139
318,Beer,North,1545,28238
406,Snacks,South,795,49276
335,Soda,South,1678,8512
483,Snacks,West,185,6704
446,Juice,South,725,42310
263,Beer,North,1983,49723
387,Beer,West,1614,15658
458,Soda,West,1976,33719
156,Beer,North,1802,16735
128,Beer,North,987,4364
186,Juice,North,591,25274
477,Beer,East,1321,23851
178,Snacks,South,269,6619
462,Soda,South,1019,26250
407,Beer,West,1056,19995
498,Snacks,South,608,13158
188,Soda,West,1747,10732
278,Soda,West,1961,13264
386,Juice,East,1519,4653
183,Beer,West,1217,35863
322,Soda,East,809,32496
243,Soda,South,1147,9405
263,Soda,East,78,48019
394,Soda,North,811,10978
238,Juice,East,170,23411
247,Soda,West,64,32411
411,Soda,South,269,42915
340,Juice,West,356,8587
342,Juice,South,873,18632
269,Juice,West,521,19232
146,Soda,East,1755,4448
105,Snacks,West,1989,15438
464,Snacks,North,736,40962
134,Soda,North,1905,33849
491,Beer,South,1702,14540
