hospital_id,department,patients_per_day,avg_wait_time_minutes,treatment_cost
10,Emergency,256,71,2824
17,Cardiology,223,71,159
42,Pediatrics,230,39,4301
30,Cardiology,245,64,2770
44,Cardiology,26,65,3439
7,Pediatrics,239,103,2889
18,Emergency,47,118,3754
19,Cardiology,231,74,3290
15,Cardiology,208,82,2592
39,Emergency,94,94,4501
44,Pediatrics,261,7,2762
22,Pediatrics,133,37,301
39,Pediatrics,186,46,3261
42,Emergency,125,17,570
30,Cardiology,170,33,3126
20,Emergency,103,13,3456
32,Cardiology,231,36,3854
42,Cardiology,286,26,2456
25,Pediatrics,288,90,4073
23,Pediatrics,196,62,4928
5,Pediatrics,290,61,2683
41,Emergency,201,102,4571
30,Pediatrics,178,14,3885
48,Emergency,208,29,2646
39,Pediatrics,205,66,2783
27,Pediatrics,265,67,4337
42,Pediatrics,61,80,3223
37,Emergency,200,119,3241
7,Cardiology,201,7,2407
5,Emergency,237,87,3890
15,Emergency,182,101,3210
42,Emergency,65,51,447
8,Cardiology,111,59,1701
9,Emergency,124,30,3696
11,Pediatrics,226,17,3877
22,Cardiology,158,11,2653
34,Emergency,48,38,4620
35,Emergency,270,26,3878
13,Cardiology,210,88,421
11,Emergency,66,111,3761
32,Cardiology,270,27,2397
42,Pediatrics,282,52,279
15,Emergency,83,18,4065
38,Emergency,287,98,1812
1,Pediatrics,31,91,128
46,Emergency,48,115,3667
24,Emergency,158,56,2133
43,Cardiology,104,87,837
40,Emergency,93,43,3819
22,Pediatrics,270,45,154
3,Emergency,243,40,3025
14,Cardiology,66,10,1533
2,Pediatrics,100,27,2164
32,Pediatrics,140,14,3742
48,Pediatrics,62,103,4283
38,Pediatrics,165,89,3394
33,Cardiology,93,100,3955
46,Cardiology,72,64,2851
42,Cardiology,252,34,3733
6,Cardiology,219,101,824
41,Emergency,181,74,1353
39,Cardiology,56,9,1277
25,Emergency,116,83,1396
34,Pediatrics,68,61,994
11,Emergency,29,47,2599
46,Emergency,59,56,1429
37,Emergency,172,93,2574
41,Cardiology,125,81,2727
7,Cardiology,60,10,4446
46,Pediatrics,183,105,2550
48,Cardiology,277,6,3068
22,Emergency,230,21,1269
48,Cardiology,221,92,3539
39,Cardiology,214,16,2467
10,Emergency,72,48,4394
21,Pediatrics,166,58,1564
6,Cardiology,262,82,2292
49,Pediatrics,70,11,1830
1,Emergency,133,94,3394
34,Cardiology,292,36,1223
14,Pediatrics,139,33,4721
36,Pediatrics,208,50,1588
27,Emergency,65,107,364
