warehouse_id,region,shipments_per_day,delivery_time_hours,delayed_shipments
20,North,270,20.805092554572372,28
26,North,352,13.81152088779158,15
26,North,382,7.269686059775393,22
12,South,345,60.94172535794815,34
4,South,430,5.8311999599960656,42
5,East,369,44.65826374959075,21
23,South,200,55.427025434006,34
16,North,67,56.63373073051627,5
27,West,486,47.758994103647616,22
13,North,481,47.69571690660262,22
1,North,77,35.18643362373962,29
1,West,156,31.169479578079574,36
16,West,330,11.614834977336582,41
21,North,320,39.47476361438796,19
5,South,175,6.972089565109071,10
27,East,175,34.77380120369019,23
28,West,193,53.16305311460692,17
17,East,428,33.00040916180313,26
23,South,301,37.57980864998898,6
7,North,270,60.954412189974754,47
4,South,337,47.26076270959542,20
2,South,215,10.931757914961524,14
2,East,214,40.00559717803764,7
4,South,437,27.52027607350233,27
2,West,424,16.478278691335248,20
1,North,484,47.35780764115699,7
17,West,249,29.055232581236123,27
8,South,437,55.71148506722861,33
18,East,63,43.05505513612312,46
9,East,351,9.297963337496608,14
2,West,236,26.524449554417952,43
27,West,296,20.88900517806365,42
27,East,421,12.498079710992382,36
4,West,55,58.01536573461088,26
23,South,89,28.497009288870153,40
7,North,487,44.928119324745445,25
26,North,200,63.740848378590066,11
11,North,274,40.010462747838965,33
8,East,167,20.065638691546372,30
3,East,499,57.34793611794063,2
17,East,242,32.50283710159444,25
28,North,487,41.468557748701905,5
4,West,134,65.14582522840621,19
16,East,146,36.2492630552059,39
3,East,113,25.428595239421,16
27,South,278,52.917550565840045,40
20,East,231,11.345029711620024,0
22,East,27,65.96069583217147,12
16,North,275,66.08824687429583,17
1,North,488,42.5585140875755,20
13,South,323,12.800708698249938,11
17,North,426,33.64637557667059,43
29,West,137,31.631352376255737,11
28,West,20,22.881956279191016,25
12,North,21,14.257008593338915,41
16,East,93,20.45868959827255,39
28,South,312,40.886994896729085,27
2,East,269,49.99947331988029,43
26,East,113,70.57173251198451,24
10,South,70,17.1030870598395,20
28,North,191,16.281136681073264,47
3,South,171,10.192334194576903,49
12,West,179,67.72954421482746,48
21,East,203,28.729436715871067,10
25,West,325,66.67865594597292,8
6,South,211,64.26048457042971,34
5,North,177,5.07829944256455,35
24,South,185,21.58398125329251,48
1,West,138,23.176602844581392,28
23,West,145,21.414293992221538,39
16,East,353,31.773506899987463,16
8,East,202,36.95154972067474,36
13,East,406,55.07395975393757,47
25,East,428,20.73920283526205,48
14,North,64,22.91226586479432,7
11,South,209,43.90239456391523,43
25,South,154,14.548827101494252,46
12,South,356,35.12349971471289,4
13,North,174,19.568956982550038,22
8,South,249,15.859307131734734,9
10,South,249,57.69571534151149,46
3,North,42,51.498595800068195,40
6,East,179,19.486883003949774,46
21,East,21,31.062146760454976,14
19,North,222,12.79568433524969,15
18,North,181,5.721790710583447,26
18,East,455,42.96541425057392,31
26,North,208,27.449467744955918,39
26,South,130,16.507584524332636,44
26,West,401,10.022430203026808,45
20,West,309,49.601946182021244,34
25,South,282,21.002200421018284,36
18,North,285,65.51722371926498,23
16,East,492,15.496395483370627,30
