factory_id,product,units_produced,defect_rate,production_cost
1,Consumer Goods,16153,0.1079058198768784,146120
1,Steel,8188,0.10238282859992888,161027
16,Steel,6393,0.08629493406032757,137046
5,Steel,18233,0.06671467115819377,148358
9,Steel,807,0.100589567822242,144774
1,Steel,10038,0.08701291938180672,58010
19,Steel,14419,0.04816758952510877,58564
16,Steel,8309,0.024646159693126522,73614
3,Steel,6236,0.06413081309828103,118803
4,Consumer Goods,13498,0.08174105639166827,169971
12,Steel,8555,0.0811921525435054,90316
7,Cement,8609,0.0695815362999982,132453
15,Consumer Goods,14416,0.055829723659159405,125465
15,Consumer Goods,10204,0.05906917052938521,154598
5,Cement,15796,0.047218339681816206,47243
2,Steel,2783,0.09118715724658147,176219
12,Cement,8052,0.1289842421813117,51885
19,Cement,12716,0.13315655982496805,168112
5,Cement,1882,0.14912149384521795,160353
3,Consumer Goods,9675,0.022434557915550414,177107
6,Steel,17908,0.03999615673141492,48874
13,Consumer Goods,3026,0.11222897600966576,145406
15,Steel,15512,0.10033367312617929,102438
4,Cement,17927,0.028741201033776344,14089
7,Consumer Goods,19389,0.09834252413512888,28501
18,Steel,12506,0.0669046602931719,151062
7,Steel,12211,0.14396032790739485,145186
12,Cement,3187,0.12973399379528455,95364
11,Consumer Goods,3656,0.02025391916749992,74751
12,Consumer Goods,17459,0.022598548468775733,124005
15,Consumer Goods,11539,0.06838795274821823,140382
8,Consumer Goods,902,0.011171963307565981,126805
11,Consumer Goods,8944,0.023214167929292075,190421
18,Consumer Goods,2129,0.1405633917743473,41736
10,Consumer Goods,15793,0.1209404565049979,95253
8,Cement,3209,0.1041792572140797,86619
6,Steel,16224,0.12623321266508405,115944
3,Cement,13456,0.045007679761716254,92051
12,Steel,12023,0.11157937475935764,114822
17,Steel,4543,0.09617940174705503,84821
3,Steel,3159,0.1288106382775827,141838
18,Consumer Goods,5741,0.049576240326252435,101580
12,Consumer Goods,16503,0.11692021165438965,176258
16,Steel,14328,0.12937119656860446,130247
10,Steel,9670,0.08686096245658328,48756
19,Consumer Goods,4316,0.0679299334586696,131997
9,Consumer Goods,19610,0.14281136069977385,72982
14,Steel,1068,0.03365574622337095,179425
14,Steel,13330,0.015078226035725366,131785
4,Cement,4605,0.03507963693051284,152908
15,Consumer Goods,12944,0.1056835552681982,107179
2,Consumer Goods,3272,0.12045243146363305,168932
18,Steel,12928,0.11035585977285627,102342
2,Cement,4554,0.06878131755379566,135282
18,Consumer Goods,636,0.1454602962514857,105982
8,Cement,18349,0.07220226894665925,82649
10,Cement,5271,0.14738269128096293,163259
4,Consumer Goods,18420,0.13853630399725175,74482
10,Steel,2824,0.06700022335374019,84541
10,Cement,12447,0.03254120951763485,21440
3,Steel,10071,0.022577237326903837,115850
4,Consumer Goods,9624,0.08440649331243316,112850
10,Cement,12537,0.11684911450135159,108790
7,Steel,16513,0.03464667735980383,136200
12,Cement,7760,0.05454953139387321,35843
7,Cement,7284,0.09827440595890255,165625
13,Cement,7803,0.07452155801449943,149942
8,Consumer Goods,14946,0.09454148890817089,176101
13,Steel,9759,0.10469146196111376,81706
1,Cement,17094,0.06329731315820553,171269
16,Steel,11082,0.12003528167730942,37438
19,Consumer Goods,7004,0.10840111197692018,115267
19,Cement,16190,0.10625745200255987,63316
13,Cement,13295,0.03092769316701867,110545
7,Cement,17687,0.07639298358137846,135224
15,Steel,19451,0.09080420842791186,23873
6,Steel,19031,0.04169407054061892,185379
4,Cement,6896,0.1161993924965405,28039
11,Steel,15629,0.026951297105361365,27350
19,Steel,11542,0.03098004927668454,130519
2,Cement,2223,0.06786470138043776,104810
17,Cement,18030,0.0289482721508576,137301
15,Cement,8823,0.011630153266701524,199591
18,Consumer Goods,16095,0.0675962701463106,108979
12,Cement,10801,0.10079729958332984,187284
3,Cement,17615,0.07931936193118111,193507
17,Cement,9094,0.017305157660955656,72454
14,Cement,6095,0.04254514718777028,41487
6,Cement,10309,0.08340880771297218,125048
4,Cement,16862,0.11333298818286067,127159
8,Cement,769,0.12114837500257934,133489
3,Cement,13865,0.0827115868647169,73334
8,Consumer Goods,18038,0.10045784353293517,155531
13,Steel,16469,0.1364784297377798,32705
19,Consumer Goods,7272,0.01912782369902034,33490
15,Consumer Goods,2848,0.023884157497501123,73216
7,Cement,19635,0.07410041176517503,199665
3,Cement,10675,0.09536285004653082,178098
19,Cement,6558,0.010648786031440852,93775
10,Cement,5022,0.07335676630116589,117308
16,Steel,2663,0.03418652445267766,174332
14,Steel,19167,0.10031464997172145,93749
8,Consumer Goods,14374,0.04748297990481425,108774
11,Steel,16077,0.1362713378615122,126068
19,Consumer Goods,4663,0.018938641704669155,53162
2,Cement,11482,0.12328884739433153,96775
5,Consumer Goods,15672,0.06492585727284697,103376
11,Consumer Goods,4986,0.13000248201748607,46098
7,Steel,14795,0.12411716512360933,21493
8,Consumer Goods,14237,0.04350097726609206,155507
17,Cement,11353,0.017079486861465737,88877
12,Cement,10658,0.10737299759764125,164334
18,Cement,19310,0.03861523715193989,46061
7,Cement,16597,0.1402709946572399,76575
9,Steel,4683,0.019412285711260066,194092
19,Consumer Goods,6411,0.05535720765082943,143837
14,Consumer Goods,14464,0.011770861050254376,20775
19,Consumer Goods,13412,0.05438274481453351,134678
18,Consumer Goods,5708,0.08577621524551259,131790
15,Cement,8678,0.10168075805546756,49469
4,Steel,11616,0.11170073569420487,71679
13,Consumer Goods,4392,0.12668302678512888,177911
5,Consumer Goods,19663,0.025509778008499497,121407
12,Steel,13786,0.11666216963424221,68008
17,Consumer Goods,7099,0.048971628693515915,27974
10,Steel,9146,0.02935455453706569,159824
12,Consumer Goods,13722,0.04719171996947643,187819
6,Steel,4804,0.13011903110997167,172600
12,Consumer Goods,5932,0.09783483574588128,68271
13,Cement,3350,0.09363340886403473,120532
17,Consumer Goods,19017,0.09184916848506723,104241
10,Cement,12029,0.06720785576176981,126538
19,Steel,15130,0.0683806392490507,147965
5,Cement,2221,0.030765424100075413,125132
5,Consumer Goods,18910,0.056565819342204324,38851
8,Cement,14800,0.08168449979597361,60841
17,Cement,18070,0.09484247744829719,190940
3,Consumer Goods,18034,0.02002942058837371,179227
16,Steel,1929,0.05673343363464183,165157
19,Cement,1148,0.057518908172766586,96327
6,Consumer Goods,855,0.08210982793745103,46869
10,Cement,3323,0.1094048308549786,78131
16,Steel,8657,0.09893257111791662,18829
13,Steel,16081,0.08992392854794543,39129
3,Steel,8043,0.050798613223254366,167412
8,Cement,12626,0.12746790294952096,163274
8,Consumer Goods,5769,0.11994096050988112,13551
7,Steel,4434,0.035705790904415974,167763
11,Consumer Goods,7585,0.10171841967791517,165443
3,Steel,14532,0.1369316414843647,59271
7,Cement,17150,0.070984180849977,117343
11,Cement,7817,0.1394676979845905,60026
17,Steel,18764,0.013074928659969974,160450
18,Consumer Goods,18432,0.0822735998297852,155753
