well_id,region,production_barrels,operational_cost,downtime_hours
1102,South,877,55421,2
1435,West,2180,152526,41
1860,South,741,168594,11
1270,East,1419,58575,17
1106,East,569,23192,22
1071,South,4424,131116,19
1700,North,2586,147874,5
1020,East,2507,101311,33
1614,North,1300,161474,41
1121,East,3279,100781,1
1466,North,1255,56527,29
1214,North,2495,72181,8
1330,North,1821,111472,26
1458,South,2830,178074,41
1087,North,609,101219,33
1372,North,1516,163532,39
1099,North,4365,139783,23
1871,East,524,181554,16
1663,North,3338,167519,28
1130,East,1237,199300,35
1661,North,679,103265,11
1308,North,731,70126,30
1769,South,2417,40545,8
1343,East,842,75114,18
1491,North,3123,113740,45
1413,East,954,33890,45
1805,East,4884,141284,16
1385,West,2776,72482,1
1191,South,1095,152812,39
1955,South,4374,181193,4
1276,South,4997,162290,38
1160,West,3169,91591,47
1459,West,2635,108241,15
1313,South,4464,54722,16
1021,West,2065,69431,26
1252,West,808,62000,6
1747,West,842,91975,7
1856,South,935,50921,7
1560,South,676,119265,22
1474,South,638,108747,31
1058,West,693,181686,42
1510,South,3757,37601,46
1681,West,3735,113332,17
1475,North,1442,143254,37
1699,West,4379,171586,11
1975,East,3613,139004,14
1782,South,3462,167364,27
1189,South,1453,182582,37
1957,East,1802,48000,30
1686,West,3881,150439,8
1957,North,3380,139277,7
1562,East,2687,50383,45
1875,East,1045,162857,18
1566,West,2427,60910,7
1243,South,4652,190100,33
1831,West,504,175927,3
1504,East,3981,44281,30
1130,East,3753,133838,37
1484,South,1862,24841,2
1818,South,2320,117204,34
1646,South,3163,80155,18
1020,West,3438,177990,42
1840,South,1773,76313,28
1166,East,3826,131688,9
1273,East,4159,168515,11
1387,North,3445,183322,45
1600,West,3518,152994,29
1315,North,1631,51976,29
1013,East,3136,163063,17
1241,North,3529,124405,23
1776,East,3519,73744,31
1345,North,4877,173805,8
1564,South,3659,22473,46
1897,North,753,159180,23
1339,South,828,48715,25
1091,South,3091,183282,2
1366,West,3330,57317,22
1955,South,3544,85516,10
1454,South,1920,184434,9
1427,North,3901,74604,35
1508,East,3392,24889,12
1775,West,1154,93748,28
