order_id,warehouse_id,processing_time_hours,shipping_time_hours,delivery_time_hours
O1,W4,35,75,53
O2,W5,39,42,239
O3,W1,9,119,124
O4,W2,9,111,59
O5,W1,11,73,193
O6,W3,40,84,215
O7,W4,47,97,174
O8,W2,2,75,230
O9,W2,23,50,157
O10,W4,1,88,78
O11,W1,24,78,112
O12,W3,26,40,88
O13,W1,2,55,125
O14,W2,17,93,210
O15,W3,20,45,96
O16,W2,1,97,103
O17,W2,46,96,105
O18,W2,9,104,190
O19,W3,25,69,219
O20,W4,46,53,200
O21,W1,7,50,179
O22,W2,45,61,56
O23,W3,27,92,170
O24,W4,2,47,68
O25,W3,19,55,55
O26,W3,31,67,236
O27,W5,16,79,79
O28,W4,5,96,68
O29,W5,5,36,54
O30,W3,28,54,142
O31,W1,22,41,226
O32,W3,35,98,149
O33,W2,30,99,102
O34,W5,15,34,122
O35,W5,19,51,132
O36,W1,11,80,194
O37,W4,14,96,220
O38,W1,43,24,88
O39,W1,4,73,69
O40,W1,15,106,158
O41,W4,25,27,141
O42,W2,40,119,87
O43,W4,41,40,111
O44,W3,22,88,49
O45,W3,17,77,134
O46,W3,48,104,206
O47,W3,21,83,61
O48,W4,48,99,125
O49,W5,32,119,59
O50,W5,28,93,175
O51,W1,23,119,232
O52,W3,26,27,202
O53,W3,16,45,201
O54,W5,5,43,50
O55,W4,33,119,234
O56,W4,40,108,142
O57,W1,22,67,230
O58,W3,28,53,62
O59,W5,13,78,87
O60,W1,38,58,81
O61,W3,19,56,166
O62,W5,22,117,180
O63,W4,38,86,215
O64,W3,45,74,120
O65,W4,22,101,192
O66,W2,48,66,113
O67,W5,45,94,234
O68,W5,8,94,132
O69,W3,26,96,122
O70,W3,41,97,174
O71,W1,7,97,114
O72,W2,21,25,215
O73,W3,43,26,195
O74,W2,14,69,93
O75,W5,11,73,113
O76,W4,8,76,202
O77,W2,44,78,151
O78,W3,26,89,211
O79,W4,6,66,124
O80,W4,4,95,210
O81,W5,39,66,128
O82,W4,33,29,152
O83,W1,13,85,162
O84,W3,30,60,220
O85,W1,44,60,81
O86,W3,14,38,233
O87,W3,18,60,135
O88,W4,44,42,148
O89,W4,30,98,106
O90,W3,46,98,132
O91,W4,37,112,220
O92,W4,9,66,51
O93,W3,20,64,180
O94,W3,25,112,152
O95,W5,3,63,225
O96,W2,31,26,189
O97,W3,21,94,210
O98,W2,46,39,78
O99,W3,30,117,83
O100,W1,20,81,228
O101,W5,28,110,157
O102,W4,48,84,184
O103,W4,16,43,49
O104,W4,10,90,186
O105,W1,19,107,71
O106,W2,31,111,148
O107,W2,17,24,240
O108,W3,24,87,92
O109,W1,2,33,57
O110,W3,9,110,236
O111,W2,22,66,213
O112,W1,46,39,228
O113,W3,10,119,80
O114,W1,17,75,147
O115,W1,4,98,158
O116,W3,35,47,123
O117,W1,2,97,166
O118,W3,16,91,76
O119,W1,29,113,141
O120,W3,24,110,226
O121,W1,35,87,161
O122,W4,14,113,234
O123,W1,21,64,88
O124,W2,38,75,181
O125,W2,29,102,75
O126,W2,23,100,209
O127,W3,20,80,158
O128,W1,6,64,202
O129,W5,36,60,134
O130,W3,43,91,215
O131,W2,11,98,200
O132,W3,16,80,202
O133,W2,8,29,221
O134,W5,8,106,89
O135,W3,19,45,140
O136,W3,26,31,239
O137,W4,34,118,80
O138,W3,11,103,104
O139,W2,48,72,108
O140,W5,47,87,54
O141,W3,36,51,64
O142,W5,2,41,61
O143,W1,31,85,218
O144,W5,20,42,192
O145,W1,1,104,217
O146,W3,47,48,194
O147,W3,37,63,78
O148,W2,39,76,54
O149,W2,36,90,215
O150,W1,44,98,165
O151,W3,38,113,136
O152,W5,13,43,189
O153,W5,2,29,57
O154,W5,34,34,74
O155,W3,34,51,114
O156,W5,21,59,120
O157,W4,43,74,123
O158,W4,29,106,57
O159,W1,25,108,52
O160,W5,48,109,85
O161,W2,28,72,238
O162,W5,1,54,148
O163,W4,11,103,190
O164,W5,38,83,141
O165,W1,24,39,178
O166,W5,31,101,220
O167,W5,41,41,132
O168,W2,13,88,162
O169,W3,10,98,80
O170,W1,12,105,158
O171,W2,21,73,84
O172,W2,18,116,235
O173,W3,13,110,91
O174,W4,9,89,163
O175,W2,17,31,142
O176,W5,11,56,87
O177,W3,41,107,160
O178,W2,41,78,77
O179,W3,34,120,61
O180,W3,17,52,172
O181,W3,37,39,165
O182,W2,36,56,213
O183,W3,23,93,235
O184,W1,48,92,199
O185,W4,48,77,96
O186,W4,42,57,114
O187,W4,39,112,114
O188,W5,19,67,226
O189,W4,29,62,153
O190,W3,17,37,155
O191,W1,42,56,234
O192,W5,21,93,69
O193,W3,44,28,126
O194,W4,14,61,164
O195,W2,16,119,194
O196,W2,16,70,118
O197,W4,48,103,127
O198,W5,44,118,102
O199,W3,20,80,219
O200,W5,40,109,216
O201,W3,9,64,233
O202,W1,42,53,141
O203,W1,41,38,137
O204,W1,38,76,156
O205,W3,21,95,97
O206,W5,8,36,70
O207,W3,41,32,103
O208,W2,47,105,214
O209,W5,48,78,66
O210,W4,29,109,131
O211,W1,13,54,76
O212,W2,11,24,85
O213,W5,42,62,79
O214,W3,4,90,145
O215,W3,17,109,154
O216,W4,11,62,156
O217,W4,24,108,83
O218,W1,35,27,86
O219,W4,41,41,221
O220,W1,46,41,160
O221,W2,11,68,122
O222,W3,6,37,125
O223,W4,30,107,75
O224,W3,1,47,191
O225,W4,33,76,50
O226,W2,4,52,238
O227,W3,30,51,88
O228,W2,30,51,149
O229,W4,44,67,181
O230,W5,17,79,115
O231,W2,8,84,209
O232,W3,36,72,225
O233,W5,46,51,169
O234,W3,14,59,166
O235,W4,1,66,210
O236,W3,17,41,170
O237,W4,47,48,197
O238,W4,20,63,229
O239,W3,16,43,132
O240,W5,16,99,233
O241,W1,48,36,89
O242,W1,13,39,137
O243,W3,6,102,157
O244,W4,34,73,210
O245,W1,25,75,52
O246,W1,9,106,72
O247,W2,19,32,119
O248,W4,42,34,88
O249,W3,35,52,226
O250,W4,43,58,216
O251,W2,31,95,233
O252,W1,32,78,139
O253,W3,28,88,87
O254,W3,24,73,200
O255,W2,23,99,195
O256,W5,38,99,76
O257,W4,15,50,210
O258,W4,46,110,106
O259,W1,16,42,165
O260,W2,32,49,155
O261,W1,38,75,187
O262,W4,18,44,146
O263,W4,11,87,142
O264,W3,9,72,110
O265,W2,14,62,152
O266,W1,21,102,176
O267,W4,11,110,232
O268,W4,29,30,208
O269,W2,24,72,100
O270,W5,14,105,155
O271,W4,27,79,74
O272,W2,10,87,211
O273,W1,14,29,103
O274,W3,46,70,135
O275,W4,10,50,230
O276,W4,22,53,81
O277,W4,45,113,81
O278,W3,40,53,147
O279,W4,48,104,163
O280,W5,3,90,170
O281,W2,26,42,229
O282,W2,15,101,50
O283,W2,23,101,176
O284,W1,14,117,89
O285,W1,12,63,156
O286,W1,22,76,147
O287,W3,5,103,100
O288,W4,35,87,107
O289,W4,21,114,224
O290,W5,45,28,185
O291,W1,24,107,196
O292,W1,31,49,195
O293,W4,20,63,228
O294,W5,30,113,185
O295,W5,41,103,157
O296,W4,35,90,50
O297,W4,6,78,50
O298,W2,11,94,73
O299,W1,39,55,75
O300,W4,6,25,94
O301,W3,6,29,195
O302,W2,11,29,185
O303,W5,17,85,164
O304,W3,29,97,157
O305,W4,2,41,99
O306,W2,46,45,201
O307,W3,13,76,207
O308,W2,45,92,154
O309,W2,30,73,195
O310,W1,21,94,84
O311,W2,24,35,184
O312,W2,48,63,175
O313,W1,4,85,192
O314,W4,45,98,164
O315,W2,1,114,128
O316,W2,40,81,227
O317,W2,22,106,151
O318,W1,25,74,112
O319,W2,33,105,198
O320,W4,2,115,63
O321,W1,4,37,164
O322,W2,8,33,90
O323,W4,46,41,100
O324,W2,4,89,52
O325,W1,24,71,206
O326,W4,34,98,69
O327,W1,21,46,84
O328,W4,47,114,200
O329,W3,7,75,152
O330,W1,17,51,93
O331,W1,12,98,119
O332,W4,40,89,79
O333,W4,6,43,169
O334,W5,36,112,78
O335,W3,30,70,141
O336,W5,47,26,214
O337,W2,32,115,63
O338,W1,36,54,107
O339,W1,42,95,52
O340,W4,4,84,179
O341,W1,26,95,229
O342,W4,23,46,230
O343,W2,41,116,130
O344,W5,12,77,220
O345,W3,36,90,147
O346,W1,10,100,71
O347,W2,3,91,189
O348,W3,40,36,199
O349,W3,30,77,223
O350,W5,24,58,74
O351,W3,28,85,143
O352,W3,11,120,206
O353,W4,15,42,124
O354,W1,30,24,210
O355,W1,14,53,189
O356,W1,3,86,229
O357,W1,8,39,220
O358,W2,44,85,202
O359,W3,44,50,190
O360,W3,36,83,62
O361,W2,30,40,186
O362,W4,18,118,131
O363,W3,25,99,64
O364,W2,8,109,196
O365,W3,28,105,114
O366,W1,37,86,109
O367,W4,47,88,129
O368,W5,29,120,236
O369,W4,31,78,171
O370,W2,39,98,204
O371,W5,39,56,170
O372,W1,47,115,135
O373,W4,4,114,183
O374,W2,35,54,137
O375,W3,38,97,72
O376,W1,17,52,150
O377,W5,24,81,64
O378,W3,45,86,56
O379,W1,11,75,63
O380,W1,43,44,188
O381,W5,40,112,191
O382,W2,33,106,157
O383,W4,10,71,198
O384,W2,47,31,102
O385,W4,20,116,223
O386,W1,22,30,146
O387,W1,42,89,210
O388,W5,34,115,144
O389,W1,24,91,119
O390,W5,44,112,211
O391,W2,9,85,220
O392,W5,45,43,191
O393,W2,46,50,62
O394,W5,23,24,92
