order_id,product_id,customer_id,quantity
O1,P280,C1180,4
O2,P197,C1280,5
O3,P221,C1172,5
O4,P52,C1570,3
O5,P89,C83,5
O6,P460,C1461,1
O7,P9,C645,2
O8,P447,C81,1
O9,P469,C581,3
O10,P227,C1210,1
O11,P15,C161,1
O12,P389,C1641,3
O13,P287,C567,1
O14,P181,C81,3
O15,P260,C908,1
O16,P185,C415,5
O17,P95,C403,3
O18,P62,C1272,1
O19,P37,C563,5
O20,P407,C1531,3
O21,P203,C1314,2
O22,P338,C1689,4
O23,P101,C1095,3
O24,P105,C1691,5
O25,P312,C731,5
O26,P325,C1151,5
O27,P397,C1708,5
O28,P162,C1330,5
O29,P149,C562,3
O30,P368,C1889,1
O31,P223,C1711,5
O32,P408,C127,4
O33,P289,C96,3
O34,P256,C87,2
O35,P461,C247,2
O36,P264,C1054,2
O37,P226,C644,3
O38,P492,C513,5
O39,P25,C1705,3
O40,P111,C1875,2
O41,P34,C579,2
O42,P169,C861,3
O43,P493,C1623,2
O44,P142,C344,3
O45,P143,C491,4
O46,P164,C572,5
O47,P304,C1610,5
O48,P114,C467,3
O49,P25,C1490,5
O50,P153,C1623,3
O51,P443,C346,3
O52,P264,C195,1
O53,P490,C1885,5
O54,P439,C1101,5
O55,P108,C325,2
O56,P207,C1980,1
O57,P76,C296,3
O58,P119,C847,4
O59,P397,C1854,1
O60,P394,C1752,3
O61,P43,C986,5
O62,P402,C1534,1
O63,P466,C358,4
O64,P106,C399,4
O65,P152,C1268,1
O66,P425,C253,4
O67,P102,C1554,2
O68,P369,C912,4
O69,P484,C1738,2
O70,P465,C875,5
O71,P458,C780,3
O72,P328,C189,4
O73,P436,C54,3
O74,P458,C1557,2
O75,P311,C1829,2
O76,P250,C790,5
O77,P189,C1816,2
O78,P88,C795,5
O79,P237,C1681,4
O80,P242,C667,1
O81,P107,C85,1
O82,P244,C1716,2
O83,P112,C1628,4
O84,P230,C803,1
O85,P275,C405,1
O86,P422,C1132,1
O87,P403,C906,3
O88,P35,C122,1
O89,P51,C1325,3
O90,P97,C522,1
O91,P86,C1755,2
O92,P421,C1190,4
O93,P359,C1190,5
O94,P384,C1837,1
O95,P78,C1010,4
O96,P346,C403,1
O97,P294,C1058,5
O98,P401,C641,4
O99,P6,C623,4
O100,P431,C1027,1
O101,P342,C755,1
O102,P88,C724,5
O103,P270,C679,2
O104,P332,C314,2
O105,P189,C126,3
O106,P406,C661,1
O107,P498,C132,1
O108,P219,C114,3
O109,P154,C617,3
O110,P54,C820,2
O111,P330,C169,3
O112,P211,C178,4
O113,P288,C844,4
O114,P451,C895,5
O115,P191,C550,4
O116,P226,C1504,5
O117,P341,C751,2
O118,P471,C1117,5
O119,P49,C1059,4
O120,P274,C1002,5
O121,P319,C1423,1
O122,P198,C906,5
O123,P27,C1763,3
O124,P423,C1507,5
O125,P206,C451,1
O126,P54,C1505,3
O127,P483,C1965,2
O128,P39,C1286,3
O129,P363,C494,1
O130,P303,C1355,5
O131,P282,C1052,4
O132,P187,C1732,5
O133,P42,C1169,1
O134,P312,C802,5
O135,P196,C1399,3
O136,P160,C116,1
O137,P330,C1112,1
O138,P179,C1771,2
O139,P446,C1913,1
O140,P257,C1687,3
O141,P18,C1850,2
O142,P337,C1046,5
O143,P9,C604,5
O144,P157,C1746,3
O145,P492,C1282,5
O146,P111,C80,3
O147,P341,C1022,3
O148,P467,C1497,4
O149,P139,C68,4
O150,P86,C111,5
O151,P259,C1074,1
O152,P444,C851,5
O153,P465,C1286,2
O154,P387,C1372,2
O155,P47,C367,4
O156,P248,C745,2
O157,P271,C1295,1
O158,P280,C537,4
O159,P441,C671,4
O160,P373,C264,1
O161,P410,C1413,4
O162,P289,C1842,4
O163,P181,C403,1
O164,P236,C88,5
O165,P470,C1094,5
O166,P81,C496,1
O167,P209,C393,1
O168,P239,C1938,5
O169,P216,C252,3
O170,P464,C690,3
O171,P212,C388,2
O172,P19,C1867,1
O173,P28,C1326,2
O174,P286,C119,2
O175,P453,C57,2
O176,P380,C1221,5
O177,P285,C433,3
O178,P337,C604,1
O179,P18,C707,5
O180,P350,C152,5
O181,P89,C1012,5
O182,P109,C952,3
O183,P247,C1430,5
O184,P157,C599,2
O185,P412,C428,5
O186,P10,C1292,2
O187,P371,C760,3
O188,P167,C583,4
O189,P278,C1439,4
O190,P99,C1093,5
O191,P325,C1404,5
O192,P37,C1831,1
O193,P24,C950,4
O194,P79,C320,3
O195,P18,C856,4
O196,P179,C987,5
O197,P3,C1248,2
O198,P231,C677,3
O199,P278,C1257,1
O200,P153,C1586,1
O201,P80,C989,4
O202,P459,C485,5
O203,P215,C878,4
O204,P359,C296,5
O205,P224,C248,4
O206,P494,C523,2
O207,P403,C926,4
O208,P122,C1909,5
O209,P112,C1698,3
O210,P204,C440,4
O211,P112,C1169,5
O212,P408,C1164,3
O213,P360,C1723,4
O214,P417,C522,2
O215,P276,C1159,1
O216,P88,C770,1
O217,P408,C1164,5
O218,P181,C1759,3
O219,P43,C1582,5
O220,P270,C1971,2
O221,P464,C390,1
O222,P149,C528,1
O223,P99,C1044,5
O224,P408,C1986,3
O225,P81,C636,4
O226,P225,C315,5
O227,P41,C653,4
O228,P229,C51,5
O229,P313,C1425,5
O230,P145,C241,3
O231,P262,C1854,2
O232,P31,C1541,2
O233,P398,C1970,4
O234,P171,C1234,1
O235,P74,C762,4
O236,P473,C59,2
O237,P132,C1618,5
O238,P51,C1292,1
O239,P113,C1821,2
O240,P145,C1228,2
O241,P42,C1086,1
O242,P8,C470,2
O243,P334,C461,3
O244,P183,C1794,2
O245,P236,C1369,5
O246,P14,C1909,5
O247,P276,C382,4
O248,P251,C1391,3
O249,P290,C693,4
O250,P255,C1497,5
O251,P305,C1871,5
O252,P133,C1264,2
O253,P316,C1477,1
O254,P73,C1777,2
O255,P323,C196,4
O256,P360,C1274,2
O257,P313,C1594,2
O258,P366,C312,3
O259,P55,C1304,3
O260,P491,C1774,3
O261,P481,C680,1
O262,P26,C1105,1
O263,P479,C492,5
O264,P412,C203,1
O265,P475,C1522,5
O266,P287,C431,5
O267,P252,C942,4
O268,P283,C344,5
O269,P240,C1173,3
O270,P452,C804,1
O271,P94,C1343,4
O272,P369,C1231,3
O273,P85,C667,1
O274,P91,C939,5
O275,P381,C6,1
O276,P262,C1766,4
O277,P87,C1865,1
O278,P186,C380,4
O279,P134,C1480,3
O280,P455,C1109,1
O281,P149,C1002,4
O282,P232,C253,1
O283,P192,C1491,1
O284,P393,C1462,1
O285,P355,C743,2
O286,P312,C602,2
O287,P199,C1470,3
O288,P38,C391,2
O289,P185,C1077,1
O290,P335,C1147,5
O291,P5,C922,5
O292,P401,C1354,5
O293,P23,C778,1
O294,P75,C441,2
O295,P286,C1700,2
O296,P126,C1575,2
O297,P367,C1614,5
O298,P85,C1821,1
O299,P188,C998,3
O300,P439,C1983,1
O301,P436,C1425,4
O302,P84,C52,4
O303,P397,C152,5
O304,P256,C751,3
O305,P81,C1999,3
O306,P87,C1377,4
O307,P283,C1292,1
O308,P32,C767,2
O309,P170,C1444,3
O310,P153,C394,1
O311,P162,C1789,1
O312,P271,C111,3
O313,P14,C186,4
O314,P393,C1951,5
O315,P321,C613,2
O316,P388,C1039,2
O317,P222,C201,4
O318,P69,C1660,4
O319,P34,C525,3
O320,P233,C1472,3
O321,P197,C577,5
O322,P134,C789,2
O323,P64,C1743,3
O324,P152,C1720,3
O325,P116,C991,4
O326,P195,C853,4
O327,P90,C1149,3
O328,P480,C1123,5
O329,P446,C1195,3
O330,P348,C1893,5
O331,P416,C46,4
O332,P406,C660,1
O333,P474,C51,4
O334,P296,C1269,5
O335,P228,C1408,5
O336,P424,C1804,4
O337,P432,C94,4
O338,P290,C1712,2
O339,P235,C1486,2
O340,P59,C310,4
O341,P139,C34,2
O342,P139,C557,4
O343,P50,C1027,5
O344,P379,C1723,3
O345,P350,C1117,1
O346,P427,C1876,3
O347,P278,C1062,4
O348,P347,C1492,3
O349,P352,C1158,4
O350,P488,C1675,1
O351,P265,C742,1
O352,P80,C1830,5
O353,P217,C605,1
O354,P178,C557,3
O355,P88,C873,1
O356,P409,C314,4
O357,P92,C760,5
O358,P397,C1604,5
O359,P224,C1972,2
O360,P318,C1688,1
O361,P9,C1076,5
O362,P253,C595,4
O363,P469,C113,3
O364,P41,C388,2
O365,P362,C1655,4
O366,P304,C54,1
O367,P417,C870,3
O368,P243,C1212,5
O369,P477,C1630,4
O370,P442,C1129,4
O371,P195,C437,2
O372,P377,C1397,1
O373,P247,C851,3
O374,P94,C1630,3
O375,P408,C497,1
O376,P283,C1374,3
O377,P304,C823,3
O378,P417,C757,5
O379,P145,C1931,1
O380,P195,C1169,5
O381,P349,C834,2
O382,P59,C1985,5
O383,P253,C1792,2
O384,P219,C753,3
O385,P159,C1418,4
O386,P200,C97,5
O387,P336,C1636,3
O388,P223,C340,4
O389,P253,C1866,5
O390,P192,C413,3
O391,P157,C706,4
O392,P203,C1419,2
O393,P83,C298,2
O394,P50,C1791,1
O395,P363,C437,3
O396,P222,C823,5
O397,P203,C1600,3
O398,P220,C1714,2
O399,P215,C1976,4
O400,P49,C1605,4
O401,P110,C70,1
O402,P446,C1730,3
O403,P266,C1236,5
O404,P121,C1130,3
O405,P437,C700,2
O406,P62,C1668,3
O407,P231,C366,1
O408,P269,C1403,5
O409,P176,C1791,4
O410,P174,C1489,2
O411,P69,C1413,4
O412,P362,C1186,2
O413,P80,C916,2
O414,P389,C490,4
O415,P321,C271,4
O416,P43,C1528,2
O417,P494,C1730,4
O418,P387,C57,4
O419,P345,C171,5
O420,P177,C742,1
O421,P35,C947,2
O422,P184,C156,4
O423,P7,C1090,3
O424,P321,C1603,1
O425,P180,C1037,1
O426,P389,C1102,1
O427,P49,C1885,3
O428,P103,C1540,4
O429,P299,C178,5
O430,P213,C549,1
O431,P204,C1622,5
O432,P270,C1670,1
O433,P458,C132,1
O434,P493,C1227,1
O435,P3,C1007,2
O436,P12,C660,4
O437,P40,C633,5
O438,P136,C1934,2
O439,P67,C869,5
O440,P70,C959,3
O441,P356,C1511,2
O442,P485,C151,3
O443,P398,C921,1
O444,P310,C1018,2
O445,P164,C1589,4
O446,P314,C1249,4
O447,P264,C93,1
O448,P287,C1634,4
O449,P269,C75,4
O450,P440,C1069,4
O451,P131,C636,1
O452,P121,C951,5
O453,P103,C1642,1
O454,P321,C655,2
O455,P275,C939,2
O456,P245,C1923,1
O457,P118,C1099,3
O458,P453,C1312,5
O459,P491,C1954,2
O460,P199,C1034,5
O461,P69,C344,2
O462,P358,C78,4
O463,P365,C180,2
O464,P314,C1875,3
O465,P489,C1148,3
O466,P426,C1412,3
O467,P113,C508,5
O468,P151,C633,1
O469,P424,C273,5
O470,P279,C533,5
O471,P106,C1483,2
O472,P26,C1608,3
O473,P163,C1299,5
O474,P373,C922,5
O475,P363,C1137,4
O476,P395,C1387,3
O477,P426,C1591,4
O478,P37,C721,3
O479,P96,C839,5
O480,P299,C1410,1
O481,P391,C769,1
O482,P109,C1395,3
O483,P286,C1494,3
O484,P177,C1757,3
O485,P161,C1576,4
O486,P84,C1557,4
O487,P207,C1873,4
O488,P66,C1013,2
O489,P410,C617,2
O490,P311,C1368,3
O491,P8,C70,5
O492,P452,C516,5
O493,P260,C714,1
O494,P366,C1268,3
O495,P274,C105,2
O496,P342,C1783,1
O497,P349,C111,1
O498,P163,C460,3
O499,P241,C976,1
O500,P347,C142,5
O501,P171,C198,5
O502,P132,C1394,4
O503,P159,C1885,4
O504,P251,C869,4
O505,P106,C1842,4
O506,P315,C383,5
O507,P110,C702,4
O508,P10,C963,4
O509,P199,C1751,2
O510,P223,C97,2
O511,P243,C1209,2
O512,P363,C309,4
O513,P404,C1257,3
O514,P79,C266,4
O515,P1,C1263,3
O516,P102,C1927,3
O517,P91,C1357,4
O518,P309,C1859,1
O519,P470,C993,1
O520,P268,C1346,3
O521,P59,C884,5
O522,P326,C338,5
O523,P300,C1761,2
O524,P173,C511,5
O525,P217,C292,5
O526,P335,C1925,3
O527,P41,C1853,2
O528,P154,C984,3
O529,P271,C600,4
O530,P355,C21,5
O531,P270,C1371,3
O532,P339,C408,4
O533,P369,C1009,5
O534,P8,C264,5
O535,P398,C1310,1
O536,P430,C1143,3
O537,P330,C450,1
O538,P242,C420,1
O539,P50,C666,5
O540,P409,C1363,5
O541,P46,C447,1
O542,P241,C1255,2
O543,P11,C241,5
O544,P121,C1419,1
O545,P193,C1635,1
O546,P454,C1529,2
O547,P246,C892,5
O548,P140,C1507,5
O549,P155,C1850,3
O550,P172,C1136,1
O551,P172,C1436,4
O552,P386,C716,5
O553,P366,C620,3
O554,P4,C1111,5
O555,P183,C1659,4
O556,P21,C820,3
O557,P95,C1183,1
O558,P363,C680,3
O559,P206,C1154,1
O560,P452,C1488,1
O561,P226,C456,1
O562,P354,C1711,4
O563,P29,C906,3
O564,P267,C1324,5
O565,P259,C362,3
O566,P45,C372,3
O567,P243,C184,4
O568,P367,C767,1
O569,P464,C580,5
O570,P71,C614,3
O571,P44,C1822,5
O572,P413,C844,3
O573,P335,C1017,2
O574,P485,C1185,3
O575,P345,C1040,2
O576,P390,C1315,2
O577,P487,C630,4
O578,P498,C1007,5
O579,P89,C817,1
O580,P57,C343,1
O581,P119,C159,3
O582,P98,C1871,5
O583,P445,C266,3
O584,P293,C1133,3
O585,P188,C1098,4
O586,P123,C698,3
O587,P215,C1656,4
O588,P251,C594,3
O589,P370,C1330,4
O590,P192,C913,1
O591,P32,C1885,1
O592,P194,C189,5
O593,P305,C472,3
O594,P419,C445,2
O595,P44,C1204,5
O596,P498,C1333,4
O597,P99,C1565,1
O598,P67,C508,1
O599,P450,C991,3
O600,P174,C897,3
O601,P4,C245,5
O602,P43,C497,1
O603,P15,C1024,1
O604,P311,C1777,5
O605,P57,C749,3
O606,P451,C513,3
O607,P236,C1311,4
O608,P33,C1486,3
O609,P373,C22,5
O610,P446,C314,4
O611,P476,C482,2
O612,P257,C722,2
O613,P256,C1805,4
O614,P56,C776,4
O615,P396,C729,5
O616,P361,C1124,5
O617,P215,C82,1
O618,P277,C999,5
O619,P8,C1564,1
O620,P435,C820,5
O621,P371,C1509,4
O622,P267,C1032,4
O623,P84,C1011,2
O624,P166,C1415,1
O625,P474,C85,3
O626,P500,C1713,1
O627,P488,C737,1
O628,P124,C1589,4
O629,P499,C1449,4
O630,P347,C988,2
O631,P272,C199,1
O632,P200,C990,4
O633,P467,C1862,5
O634,P35,C976,3
O635,P404,C1446,4
O636,P308,C1168,2
O637,P171,C1649,3
